Starting Radixsort... 
 Suf# 94 , FinalPos 0 = aaaece
Suf# 1 , FinalPos 56 = cedadacbcbdcbbddbdaabccbbcdadaddcdacbcddadbbebbcecdcbabeeecebaedbeccdacdedeacddbabeddcdebadecaaaece
Suf# 98 , FinalPos 57 = ce
Suf# 18 , FinalPos 58 = daabccbbcdadaddcdacbcddadbbebbcecdcbabeeecebaedbeccdacdedeacddbabeddcdebadecaaaece
Suf# 5 , FinalPos 59 = dacbcbdcbbddbdaabccbbcdadaddcdacbcddadbbebbcecdcbabeeecebaedbeccdacdedeacddbabeddcdebadecaaaece
Suf# 34 , FinalPos 60 = dacbcddadbbebbcecdcbabeeecebaedbeccdacdedeacddbabeddcdebadecaaaece
Suf# 69 , FinalPos 61 = dacdedeacddbabeddcdebadecaaaece
Suf# 3 , FinalPos 62 = dadacbcbdcbbddbdaabccbbcdadaddcdacbcddadbbebbcecdcbabeeecebaedbeccdacdedeacddbabeddcdebadecaaaece
Suf# 27 , FinalPos 63 = dadaddcdacbcddadbbebbcecdcbabeeecebaedbeccdacdedeacddbabeddcdebadecaaaece
Suf# 40 , FinalPos 64 = dadbbebbcecdcbabeeecebaedbeccdacdedeacddbabeddcdebadecaaaece
Suf# 29 , FinalPos 65 = daddcdacbcddadbbebbcecdcbabeeecebaedbeccdacdedeacddbabeddcdebadecaaaece
Suf# 79 , FinalPos 66 = dbabeddcdebadecaaaece
Suf# 42 , FinalPos 67 = dbbebbcecdcbabeeecebaedbeccdacdedeacddbabeddcdebadecaaaece
Suf# 16 , FinalPos 68 = dbdaabccbbcdadaddcdacbcddadbbebbcecdcbabeeecebaedbeccdacdedeacddbabeddcdebadecaaaece
Suf# 64 , FinalPos 69 = dbeccdacdedeacddbabeddcdebadecaaaece
Suf# 11 , FinalPos 70 = dcbbddbdaabccbbcdadaddcdacbcddadbbebbcecdcbabeeecebaedbeccdacdedeacddbabeddcdebadecaaaece
Suf# 51 , FinalPos 71 = dcbabeeecebaedbeccdacdedeacddbabeddcdebadecaaaece
Suf# 32 , FinalPos 72 = dcdacbcddadbbebbcecdcbabeeecebaedbeccdacdedeacddbabeddcdebadecaaaece
Suf# 85 , FinalPos 73 = dcdebadecaaaece
Suf# 0 , FinalPos 74 = dcedadacbcbdcbbddbdaabccbbcdadaddcdacbcddadbbebbcecdcbabeeecebaedbeccdacdedeacddbabeddcdebadecaaaece
Suf# 39 , FinalPos 75 = ddadbbebbcecdcbabeeecebaedbeccdacdedeacddbabeddcdebadecaaaece
Suf# 15 , FinalPos 76 = ddbdaabccbbcdadaddcdacbcddadbbebbcecdcbabeeecebaedbeccdacdedeacddbabeddcdebadecaaaece
Suf# 78 , FinalPos 77 = ddbabeddcdebadecaaaece
